pair,date,close
1INCHUSD,2023-07-15,0.37
1INCHUSD,2023-07-16,0.432
1INCHUSD,2023-07-17,0.403
1INCHUSD,2023-07-18,0.361
1INCHUSD,2023-07-19,0.335
1INCHUSD,2023-07-20,0.328
1INCHUSD,2023-07-21,0.336
1INCHUSD,2023-07-22,0.327
1INCHUSD,2023-07-23,0.327
1INCHUSD,2023-07-24,0.305
1INCHUSD,2023-07-25,0.303
1INCHUSD,2023-07-26,0.305
1INCHUSD,2023-07-27,0.305
1INCHUSD,2023-07-28,0.31
1INCHUSD,2023-07-29,0.315
1INCHUSD,2023-07-30,0.313
1INCHUSD,2023-07-31,0.314
1INCHUSD,2023-08-01,0.321
1INCHUSD,2023-08-02,0.316
1INCHUSD,2023-08-03,0.311
1INCHUSD,2023-08-04,0.305
1INCHUSD,2023-08-05,0.305
1INCHUSD,2023-08-06,0.305
1INCHUSD,2023-08-07,0.303
1INCHUSD,2023-08-08,0.307
1INCHUSD,2023-08-09,0.307
1INCHUSD,2023-08-10,0.307
1INCHUSD,2023-08-11,0.307
1INCHUSD,2023-08-12,0.306
1INCHUSD,2023-08-13,0.307
1INCHUSD,2023-08-14,0.311
1INCHUSD,2023-08-15,0.286
1INCHUSD,2023-08-16,0.265
1INCHUSD,2023-08-17,0.236
1INCHUSD,2023-08-18,0.242
1INCHUSD,2023-08-19,0.248
1INCHUSD,2023-08-20,0.251
1INCHUSD,2023-08-21,0.244
1INCHUSD,2023-08-22,0.244
1INCHUSD,2023-08-23,0.252
1INCHUSD,2023-08-24,0.251
1INCHUSD,2023-08-25,0.246
1INCHUSD,2023-08-26,0.243
1INCHUSD,2023-08-27,0.248
1INCHUSD,2023-08-28,0.248
1INCHUSD,2023-08-29,0.259
1INCHUSD,2023-08-30,0.256
1INCHUSD,2023-08-31,0.245
1INCHUSD,2023-09-01,0.235
1INCHUSD,2023-09-02,0.234
1INCHUSD,2023-09-03,0.235
1INCHUSD,2023-09-04,0.235
1INCHUSD,2023-09-05,0.244
1INCHUSD,2023-09-06,0.247
1INCHUSD,2023-09-07,0.248
1INCHUSD,2023-09-08,0.245
1INCHUSD,2023-09-09,0.246
1INCHUSD,2023-09-10,0.24
1INCHUSD,2023-09-11,0.224
1INCHUSD,2023-09-12,0.227
1INCHUSD,2023-09-13,0.235
1INCHUSD,2023-09-14,0.244
1INCHUSD,2023-09-15,0.256
1INCHUSD,2023-09-16,0.256
1INCHUSD,2023-09-17,0.247
1INCHUSD,2023-09-18,0.25
1INCHUSD,2023-09-19,0.252
1INCHUSD,2023-09-20,0.251
1INCHUSD,2023-09-21,0.259
1INCHUSD,2023-09-22,0.262
1INCHUSD,2023-09-23,0.262
1INCHUSD,2023-09-24,0.256
1INCHUSD,2023-09-25,0.265
1INCHUSD,2023-09-26,0.266
1INCHUSD,2023-09-27,0.261
1INCHUSD,2023-09-28,0.269
1INCHUSD,2023-09-29,0.267
1INCHUSD,2023-09-30,0.27
1INCHUSD,2023-10-01,0.277
1INCHUSD,2023-10-02,0.268
1INCHUSD,2023-10-03,0.259
1INCHUSD,2023-10-04,0.256
1INCHUSD,2023-10-05,0.25
1INCHUSD,2023-10-06,0.257
1INCHUSD,2023-10-07,0.256
1INCHUSD,2023-10-08,0.259
1INCHUSD,2023-10-09,0.247
1INCHUSD,2023-10-10,0.24
1INCHUSD,2023-10-11,0.238
1INCHUSD,2023-10-12,0.241
1INCHUSD,2023-10-13,0.245
1INCHUSD,2023-10-14,0.245
1INCHUSD,2023-10-15,0.245
1INCHUSD,2023-10-16,0.251
1INCHUSD,2023-10-17,0.253
1INCHUSD,2023-10-18,0.249
1INCHUSD,2023-10-19,0.244
1INCHUSD,2023-10-20,0.254
1INCHUSD,2023-10-21,0.263
1INCHUSD,2023-10-22,0.27
1INCHUSD,2023-10-23,0.279
1INCHUSD,2023-10-24,0.285
1INCHUSD,2023-10-25,0.287
1INCHUSD,2023-10-26,0.285
1INCHUSD,2023-10-27,0.281
1INCHUSD,2023-10-28,0.288
1INCHUSD,2023-10-29,0.296
1INCHUSD,2023-10-30,0.297
1INCHUSD,2023-10-31,0.292
1INCHUSD,2023-11-01,0.314
1INCHUSD,2023-11-02,0.308
1INCHUSD,2023-11-03,0.311
1INCHUSD,2023-11-04,0.316
1INCHUSD,2023-11-05,0.331
1INCHUSD,2023-11-06,0.357
1INCHUSD,2023-11-07,0.347
1INCHUSD,2023-11-08,0.366
1INCHUSD,2023-11-09,0.372
1INCHUSD,2023-11-10,0.385
1INCHUSD,2023-11-11,0.385
1INCHUSD,2023-11-12,0.381
1INCHUSD,2023-11-13,0.357
1INCHUSD,2023-11-14,0.347
1INCHUSD,2023-11-15,0.373
1INCHUSD,2023-11-16,0.357
1INCHUSD,2023-11-17,0.355
1INCHUSD,2023-11-18,0.35
1INCHUSD,2023-11-19,0.366
1INCHUSD,2023-11-20,0.359
1INCHUSD,2023-11-21,0.324
1INCHUSD,2023-11-22,0.351
1INCHUSD,2023-11-23,0.358
1INCHUSD,2023-11-24,0.359
1INCHUSD,2023-11-25,0.37
1INCHUSD,2023-11-26,0.355
1INCHUSD,2023-11-27,0.344
1INCHUSD,2023-11-28,0.344
1INCHUSD,2023-11-29,0.342
1INCHUSD,2023-11-30,0.342
1INCHUSD,2023-12-01,0.351
1INCHUSD,2023-12-02,0.357
1INCHUSD,2023-12-03,0.354
1INCHUSD,2023-12-04,0.366
1INCHUSD,2023-12-05,0.375
1INCHUSD,2023-12-06,0.374
1INCHUSD,2023-12-07,0.387
1INCHUSD,2023-12-08,0.412
1INCHUSD,2023-12-09,0.403
1INCHUSD,2023-12-10,0.401
1INCHUSD,2023-12-11,0.364
1INCHUSD,2023-12-12,0.371
1INCHUSD,2023-12-13,0.374
1INCHUSD,2023-12-14,0.383
1INCHUSD,2023-12-15,0.361
1INCHUSD,2023-12-16,0.378
1INCHUSD,2023-12-17,0.366
1INCHUSD,2023-12-18,0.361
1INCHUSD,2023-12-19,0.355
1INCHUSD,2023-12-20,0.369
1INCHUSD,2023-12-21,0.391
1INCHUSD,2023-12-22,0.41
1INCHUSD,2023-12-23,0.424
1INCHUSD,2023-12-24,0.421
1INCHUSD,2023-12-25,0.45
1INCHUSD,2023-12-26,0.458
1INCHUSD,2023-12-27,0.448
1INCHUSD,2023-12-28,0.43
1INCHUSD,2023-12-29,0.433
1INCHUSD,2023-12-30,0.419
1INCHUSD,2023-12-31,0.427
1INCHUSD,2024-01-01,0.488
1INCHUSD,2024-01-02,0.474
1INCHUSD,2024-01-03,0.425
1INCHUSD,2024-01-04,0.458
1INCHUSD,2024-01-05,0.482
1INCHUSD,2024-01-06,0.465
1INCHUSD,2024-01-07,0.418
1INCHUSD,2024-01-08,0.445
1INCHUSD,2024-01-09,0.413
1INCHUSD,2024-01-10,0.456
1INCHUSD,2024-01-11,0.515
1INCHUSD,2024-01-12,0.479
1INCHUSD,2024-01-13,0.49
1INCHUSD,2024-01-14,0.459
1INCHUSD,2024-01-15,0.467
1INCHUSD,2024-01-16,0.474
1INCHUSD,2024-01-17,0.457
1INCHUSD,2024-01-18,0.425
1INCHUSD,2024-01-19,0.415
1INCHUSD,2024-01-20,0.425
1INCHUSD,2024-01-21,0.417
1INCHUSD,2024-01-22,0.38
1INCHUSD,2024-01-23,0.372
1INCHUSD,2024-01-24,0.38
1INCHUSD,2024-01-25,0.377
1INCHUSD,2024-01-26,0.393
1INCHUSD,2024-01-27,0.4
1INCHUSD,2024-01-28,0.384
1INCHUSD,2024-01-29,0.412
1INCHUSD,2024-01-30,0.41
1INCHUSD,2024-01-31,0.392
1INCHUSD,2024-02-01,0.382
1INCHUSD,2024-02-02,0.41
1INCHUSD,2024-02-03,0.41
1INCHUSD,2024-02-04,0.39
1INCHUSD,2024-02-05,0.394
1INCHUSD,2024-02-06,0.391
1INCHUSD,2024-02-07,0.41
1INCHUSD,2024-02-08,0.409
1INCHUSD,2024-02-09,0.427
1INCHUSD,2024-02-10,0.422
1INCHUSD,2024-02-11,0.42
1INCHUSD,2024-02-12,0.434
1INCHUSD,2024-02-13,0.431
1INCHUSD,2024-02-14,0.45
1INCHUSD,2024-02-15,0.453
1INCHUSD,2024-02-16,0.453
1INCHUSD,2024-02-17,0.444
1INCHUSD,2024-02-18,0.451
1INCHUSD,2024-02-19,0.462
1INCHUSD,2024-02-20,0.445
1INCHUSD,2024-02-21,0.436
1INCHUSD,2024-02-22,0.443
1INCHUSD,2024-02-23,0.471
1INCHUSD,2024-02-24,0.495
1INCHUSD,2024-02-25,0.495
1INCHUSD,2024-02-26,0.497
1INCHUSD,2024-02-27,0.488
1INCHUSD,2024-02-28,0.5
1INCHUSD,2024-02-29,0.509
1INCHUSD,2024-03-01,0.549
1INCHUSD,2024-03-02,0.583
1INCHUSD,2024-03-03,0.591
1INCHUSD,2024-03-04,0.592
1INCHUSD,2024-03-05,0.543
1INCHUSD,2024-03-06,0.636
1INCHUSD,2024-03-07,0.631
1INCHUSD,2024-03-08,0.608
1INCHUSD,2024-03-09,0.625
1INCHUSD,2024-03-10,0.642
1INCHUSD,2024-03-11,0.663
1INCHUSD,2024-03-12,0.659
1INCHUSD,2024-03-13,0.681
1INCHUSD,2024-03-14,0.655
1INCHUSD,2024-03-15,0.617
1INCHUSD,2024-03-16,0.566
1INCHUSD,2024-03-17,0.587
1INCHUSD,2024-03-18,0.554
1INCHUSD,2024-03-19,0.5
1INCHUSD,2024-03-20,0.55
1INCHUSD,2024-03-21,0.556
1INCHUSD,2024-03-22,0.539
1INCHUSD,2024-03-23,0.545
1INCHUSD,2024-03-24,0.567
1INCHUSD,2024-03-25,0.589
1INCHUSD,2024-03-26,0.607
1INCHUSD,2024-03-27,0.581
1INCHUSD,2024-03-28,0.605
1INCHUSD,2024-03-29,0.599
1INCHUSD,2024-03-30,0.605
1INCHUSD,2024-03-31,0.619
1INCHUSD,2024-04-01,0.601
1INCHUSD,2024-04-02,0.542
1INCHUSD,2024-04-03,0.538
1INCHUSD,2024-04-04,0.549
1INCHUSD,2024-04-05,0.542
1INCHUSD,2024-04-06,0.546
1INCHUSD,2024-04-07,0.568
1INCHUSD,2024-04-08,0.612
1INCHUSD,2024-04-09,0.576
1INCHUSD,2024-04-10,0.564
1INCHUSD,2024-04-11,0.551
1INCHUSD,2024-04-12,0.475
1INCHUSD,2024-04-13,0.392
1INCHUSD,2024-04-14,0.419
1INCHUSD,2024-04-15,0.402
1INCHUSD,2024-04-16,0.398
1INCHUSD,2024-04-17,0.382
1INCHUSD,2024-04-18,0.407
1INCHUSD,2024-04-19,0.416
1INCHUSD,2024-04-20,0.443
1INCHUSD,2024-04-21,0.429
1INCHUSD,2024-04-22,0.44
1INCHUSD,2024-04-23,0.439
1INCHUSD,2024-04-24,0.432
1INCHUSD,2024-04-25,0.433
1INCHUSD,2024-04-26,0.426
1INCHUSD,2024-04-27,0.44
1INCHUSD,2024-04-28,0.425
1INCHUSD,2024-04-29,0.422
1INCHUSD,2024-04-30,0.395
1INCHUSD,2024-05-01,0.368
1INCHUSD,2024-05-02,0.371
1INCHUSD,2024-05-03,0.386
1INCHUSD,2024-05-04,0.387
1INCHUSD,2024-05-05,0.392
1INCHUSD,2024-05-06,0.38
1INCHUSD,2024-05-07,0.368
1INCHUSD,2024-05-08,0.367
1INCHUSD,2024-05-09,0.381
1INCHUSD,2024-05-10,0.362
1INCHUSD,2024-05-11,0.362
1INCHUSD,2024-05-12,0.36
1INCHUSD,2024-05-13,0.364
1INCHUSD,2024-05-14,0.355
1INCHUSD,2024-05-15,0.374
1INCHUSD,2024-05-16,0.381
1INCHUSD,2024-05-17,0.397
1INCHUSD,2024-05-18,0.398
1INCHUSD,2024-05-19,0.377
1INCHUSD,2024-05-20,0.418
1INCHUSD,2024-05-21,0.429
1INCHUSD,2024-05-22,0.413
